latitude,longitude,area_in_meters,confidence,geometry,full_plus_code,tile_id
-11.93256303,-75.26291512,103.4835,0.901,"POLYGON((-75.2628610841428 -11.9326025924512, -75.2628921208001 -11.9325007155505, -75.2629691556806 -11.9325234716326, -75.2629381190498 -11.9326253485412, -75.2628610841428 -11.9326025924512))",57W63P8P+XRGG,911
-11.93275492,-75.26094917,35.885,0.775,"POLYGON((-75.2609203452505 -11.9327823686444, -75.2609331641241 -11.9327187038815, -75.2609779958208 -11.932727456664, -75.2609651769587 -11.9327911214289, -75.2609203452505 -11.9327823686444))",57W63P8Q+VJVW,911
-11.93573009,-75.25856217,10.6578,0.7535,"POLYGON((-75.2585443239076 -11.9357418405518, -75.2585462982435 -11.9357158689304, -75.258580031866 -11.9357183554128, -75.2585780575335 -11.9357443270343, -75.2585443239076 -11.9357418405518))",57W63P7R+PH4J,911
-11.90035718,-75.23185861,131.7933,0.6938,"POLYGON((-75.231787889241 -11.9003293038975, -75.2319069535155 -11.900299205728, -75.2319293257019 -11.9003850408183, -75.2318102613932 -11.9004151389978, -75.231787889241 -11.9003293038975))",57W63QX9+V72P,911
-11.93252184,-75.26188825,45.8391,0.8096,"POLYGON((-75.2618494372143 -11.9325427225112, -75.2618603535282 -11.9324880364636, -75.2619270666443 -11.9325009493, -75.2619161503432 -11.9325556353499, -75.2618494372143 -11.9325427225112))",57W63P8Q+X6X4,911
-11.92124171,-75.24743603,74.3884,0.8557,"POLYGON((-75.2473748472639 -11.9212333802932, -75.2474105660678 -11.9211988598854, -75.2474346624498 -11.9212230378986, -75.247459724489 -11.9211988167015, -75.247496921655 -11.9212361398632, -75.2474361408125 -11.9212948814791, -75.2473748472639 -11.9212333802932))",57W63QH3+G246,911
-11.89800439,-75.26841651,29.425,0.6508,"POLYGON((-75.2684260134845 -11.8979609647938, -75.268450819875 -11.8979755602693, -75.2684069882567 -11.8980478132668, -75.2683821818628 -11.8980332177881, -75.2684260134845 -11.8979609647938))",57W64P2J+QJWW,911
-11.90767308,-75.26046298,12.2997,0.6748,"POLYGON((-75.2604403158765 -11.9076698705623, -75.260462280428 -11.9076505520337, -75.2604856312904 -11.9076762999996, -75.2604636667386 -11.90769561853, -75.2604403158765 -11.9076698705623))",57W63PRQ+WRM2,911
-11.89763132,-75.2687313,21.0477,0.6824,"POLYGON((-75.2687014098668 -11.8976340646815, -75.2687225941222 -11.8976030171976, -75.2687611961119 -11.8976285630657, -75.2687400118591 -11.8976596105524, -75.2687014098668 -11.8976340646815))",57W64P2J+WGRP,911
-11.93281892,-75.25343598,62.8477,0.8498,"POLYGON((-75.2533844353771 -11.9328359424825, -75.253397299795 -11.93278129825, -75.2534875249303 -11.9328018942696, -75.2534746605293 -11.9328565385058, -75.2533844353771 -11.9328359424825))",57W63P8W+VJG6,911
-11.90600672,-75.25807542,80.0919,0.7368,"POLYGON((-75.2580208058953 -11.906027146779, -75.2580454446842 -11.9059573273433, -75.258130043956 -11.9059862812112, -75.2581054051866 -11.9060561006531, -75.2580208058953 -11.906027146779))",57W63PVR+HQVP,911
-11.9317876,-75.25411849,213.5297,0.8823,"POLYGON((-75.2541680185867 -11.9318313164363, -75.2541621863828 -11.9318632241178, -75.2540403987201 -11.9318416389863, -75.2540582201168 -11.9317441392761, -75.2540148492384 -11.9317364523907, -75.2540222970888 -11.9316957056975, -75.2540997930654 -11.9317094407775, -75.2540852239331 -11.9317891476374, -75.2541352616068 -11.9317980161041, -75.2541460664815 -11.9317389032191, -75.2542216707409 -11.931752302982, -75.2542059980161 -11.9318380477387, -75.2541680185867 -11.9318313164363))",57W63P9W+79JC,911
-11.93754061,-75.26137904,42.511,0.869,"POLYGON((-75.2613345530459 -11.9375476290209, -75.2613515735986 -11.937505448356, -75.2614235267715 -11.9375336000773, -75.2614065062284 -11.9375757807462, -75.2613345530459 -11.9375476290209))",57W63P6Q+XCQ9,911
-11.90052331,-75.26708877,24.6868,0.668,"POLYGON((-75.2670559604212 -11.9005558411556, -75.2671017988895 -11.9004792845558, -75.2671215755523 -11.9004907691404, -75.2670757370859 -11.9005673257421, -75.2670559604212 -11.9005558411556))",57W63PXM+Q5V2,911
-11.92788377,-75.25290161,23.7702,0.6872,"POLYGON((-75.2528842751868 -11.9279159866639, -75.2528896621828 -11.9278492594807, -75.2529189240321 -11.9278515501986, -75.2529135370433 -11.9279182773821, -75.2528842751868 -11.9279159866639))",57W63PCW+RRXJ,911
-11.93166078,-75.25565919,224.0225,0.827,"POLYGON((-75.2555860094429 -11.9315980911709, -75.2557206923445 -11.9315869312215, -75.2557323595304 -11.9317234615584, -75.2555976765643 -11.9317346215141, -75.2555860094429 -11.9315980911709))",57W63P9V+8PPH,911
-11.90815868,-75.26024927,70.662,0.8456,"POLYGON((-75.2601950917545 -11.9081508875763, -75.2602651114297 -11.9081070619686, -75.2603034564921 -11.9081664763583, -75.2602334368071 -11.9082103019763, -75.2601950917545 -11.9081508875763))",57W63PRQ+PWJJ,911
-11.90431069,-75.26545555,49.7938,0.868,"POLYGON((-75.265428131786 -11.9043489969087, -75.2654302423243 -11.9042709940618, -75.2654829686415 -11.9042723776644, -75.2654808581183 -11.9043503805113, -75.265428131786 -11.9043489969087))",57W63PWM+7RFF,911
-11.93619338,-75.25727335,120.9744,0.6724,"POLYGON((-75.2571924786261 -11.9361825646611, -75.2572203698756 -11.9361460238451, -75.257240895162 -11.936161214562, -75.2572634906969 -11.9361316117441, -75.2573487651571 -11.9361947231374, -75.2572982783834 -11.9362608667884, -75.2571924786261 -11.9361825646611))",57W63P7V+G3H7,911
-11.93668482,-75.25966011,57.3368,0.7689,"POLYGON((-75.2596161287385 -11.9367081993994, -75.2596494243555 -11.936636628278, -75.2597042084568 -11.9366615354447, -75.259670617878 -11.936733024273, -75.2596161287385 -11.9367081993994))",57W63P7R+84GQ,911
-11.93914958,-75.26317116,18.8542,0.7535,"POLYGON((-75.2631485404783 -11.9391661247926, -75.2631561189321 -11.9391261212672, -75.2631937703074 -11.9391330372312, -75.263186191859 -11.9391730407574, -75.2631485404783 -11.9391661247926))",57W63P6P+8PW4,911
-11.90021313,-75.26746515,24.0233,0.7754,"POLYGON((-75.2674607870431 -11.9001812862952, -75.2674943713915 -11.9001988426305, -75.2674695094778 -11.9002449694517, -75.2674359251254 -11.9002274131131, -75.2674607870431 -11.9001812862952))",57W63PXM+W27C,911
-11.92977535,-75.25892496,348.9768,0.8917,"POLYGON((-75.2588306083942 -11.9296914292639, -75.2589622696774 -11.9296556562346, -75.2590193204655 -11.9298592590248, -75.2588876590923 -11.9298950320826, -75.2588306083942 -11.9296914292639))",57W63PCR+3CPV,911
-11.93828349,-75.26071172,83.3442,0.6957,"POLYGON((-75.2606323 -11.9382783, -75.2606484 -11.938236, -75.260749 -11.9382731, -75.2607911 -11.9382886, -75.260775 -11.938331, -75.2606323 -11.9382783))",57W63P6Q+MPMJ,911
-11.93866621,-75.26463392,6.9418,0.6829,"POLYGON((-75.2646208502675 -11.9386771034002, -75.2646214477757 -11.9386546583329, -75.2646469970247 -11.9386553177977, -75.2646463995186 -11.938677762865, -75.2646208502675 -11.9386771034002))",57W63P6P+G4Q8,911
-11.92816747,-75.25346898,79.2013,0.8865,"POLYGON((-75.2534230760238 -11.9282021354854, -75.2534287109161 -11.9281265667106, -75.2535148824479 -11.9281327973337, -75.2535092475796 -11.9282083661095, -75.2534230760238 -11.9282021354854))",57W63PCW+PJJ9,911
-11.92784214,-75.25242051,21.8455,0.7395,"POLYGON((-75.2524016079316 -11.9278672500319, -75.2524051626307 -11.9278147806167, -75.2524394263822 -11.9278170315237, -75.2524358716896 -11.9278695009391, -75.2524016079316 -11.9278672500319))",57W63PCX+V288,911
-11.93939553,-75.26372735,11.8604,0.7188,"POLYGON((-75.2637145187475 -11.9394151325306, -75.2637155727243 -11.9393752967298, -75.2637401684063 -11.9393759276939, -75.2637391144332 -11.9394157634945, -75.2637145187475 -11.9394151325306))",57W63P6P+6GR4,911
-11.90872048,-75.26016387,155.4885,0.8237,"POLYGON((-75.260079761471 -11.9086804906158, -75.260117391022 -11.9086709028722, -75.2601233405664 -11.9086935485169, -75.2602313180022 -11.9086660365977, -75.2602515151337 -11.908742912431, -75.2601059081064 -11.9087800121058, -75.260079761471 -11.9086804906158))",57W63PRQ+GW85,911
-11.9387827,-75.26205519,37.7827,0.8177,"POLYGON((-75.2620102237511 -11.9387863351868, -75.2620241167923 -11.9387504822887, -75.2621001607988 -11.9387790535073, -75.2620862677664 -11.9388149064089, -75.2620102237511 -11.9387863351868))",57W63P6Q+F5PJ,911
-11.92022847,-75.25000747,104.3086,0.7722,"POLYGON((-75.2499397858873 -11.9202397198316, -75.2499718227875 -11.9201707049855, -75.2500751611055 -11.9202172228997, -75.2500431242266 -11.9202862377568, -75.2499397858873 -11.9202397198316))",57W63PHX+WX5X,911
-11.9105018,-75.26332418,35.0641,0.683,"POLYGON((-75.2632874021737 -11.9105145799313, -75.2633209112091 -11.910463537131, -75.2633609557815 -11.9104890320477, -75.26332744675 -11.9105400748534, -75.2632874021737 -11.9105145799313))",57W63PQP+QMVW,911
-11.93987423,-75.26026325,62.7214,0.7247,"POLYGON((-75.2602209320482 -11.9399076762405, -75.2602518291128 -11.9398219952056, -75.2603055680393 -11.9398407844241, -75.2602746709901 -11.9399264654634, -75.2602209320482 -11.9399076762405))",57W63P6Q+3V54,911
-11.93461164,-75.24924171,47.6357,0.7579,"POLYGON((-75.2492198426375 -11.9345587735789, -75.2492560748503 -11.934556339369, -75.2492635703278 -11.9346645176656, -75.2492273381007 -11.9346669518766, -75.2492198426375 -11.9345587735789))",57W63Q82+582F,911
-11.93736715,-75.26187225,577.0486,0.9452,"POLYGON((-75.2617516085507 -11.9374990130789, -75.2618528126308 -11.9371907071333, -75.2619928992317 -11.9372352940919, -75.2618916952952 -11.9375436000838, -75.2617516085507 -11.9374990130789))",57W63P7Q+3726,911
-11.93217317,-75.26180333,59.8492,0.807,"POLYGON((-75.2618005284719 -11.9321117032668, -75.2618413458672 -11.9321243360279, -75.2618061366768 -11.9322346461743, -75.2617653192667 -11.9322220134083, -75.2618005284719 -11.9321117032668))",57W63P9Q+47P3,911
-11.93375461,-75.26435203,13.1699,0.6906,"POLYGON((-75.2643357647983 -11.9337714128173, -75.2643367508341 -11.9337369183442, -75.2643682868516 -11.9337377924347, -75.2643673008199 -11.9337722869077, -75.2643357647983 -11.9337714128173))",57W63P8P+F7RW,911
-11.90065492,-75.23402115,28.5757,0.7203,"POLYGON((-75.2339831528046 -11.9006571604122, -75.2339979389132 -11.9006252128306, -75.2340591521854 -11.900652690244, -75.2340443660832 -11.9006846378282, -75.2339831528046 -11.9006571604122))",57W63QX8+P9QV,911
